# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.52
2,1000,0.28,7.05
4,1000,0.28,14.26
8,1000,0.28,28.57
16,1000,0.29,54.42
32,1000,0.30,107.32
64,1000,0.32,199.18
128,1000,0.37,345.38
256,1000,0.44,580.86
512,1000,0.60,852.31
1024,1000,0.67,1517.91
2048,1000,0.81,2541.03
4096,1000,1.65,2480.46
8192,1000,2.04,4017.58
16384,1000,2.44,6726.07
32768,1000,3.62,9064.31
65536,640,5.50,11918.57
131072,320,9.02,14529.83
262144,160,16.68,15717.13
524288,80,36.53,14350.63
1048576,40,96.63,10851.05
2097152,20,237.74,8821.13
4194304,10,573.24,7316.89
