# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.27
2,1000,0.45,4.49
4,1000,0.44,9.01
8,1000,0.44,18.01
16,1000,0.44,36.16
32,1000,0.49,65.33
64,1000,0.48,132.92
128,1000,0.59,215.42
256,1000,0.63,404.41
512,1000,0.98,520.89
1024,1000,1.04,984.48
2048,1000,1.19,1727.61
4096,1000,1.61,2542.51
8192,1000,2.11,3887.11
16384,1000,3.61,4542.59
32768,1000,5.32,6160.46
65536,640,9.28,7062.18
131072,320,15.19,8627.39
262144,160,28.54,9185.62
524288,80,67.92,7719.31
1048576,40,132.12,7936.55
2097152,20,258.11,8125.11
4194304,10,510.73,8212.45
