# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.75,0.00
1,1000,4.78,0.21
2,1000,4.78,0.42
4,1000,4.78,0.84
8,1000,4.77,1.68
16,1000,4.78,3.35
32,1000,4.79,6.69
64,1000,4.81,13.32
128,1000,4.82,26.55
256,1000,4.85,52.75
512,1000,6.44,79.46
1024,1000,6.60,155.06
2048,1000,6.87,298.27
4096,1000,7.54,543.40
8192,1000,8.41,974.03
16384,1000,14.71,1114.00
32768,1000,22.20,1476.04
65536,640,39.68,1651.44
131072,320,74.07,1769.50
262144,160,53.64,4887.39
524288,80,88.69,5911.69
1048576,40,151.34,6928.70
2097152,20,276.88,7574.33
4194304,10,604.32,6940.50
8388608,5,1443.08,5813.01
16777216,2,3164.64,5301.46
33554432,1,6435.95,5213.59
67108864,1,12790.34,5246.84
134217728,1,25709.35,5220.58
268435456,1,51176.31,5245.31
