# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.81,0.00
1,1000,7.81,0.13
2,1000,7.80,0.26
4,1000,7.81,0.51
8,1000,7.83,1.02
16,1000,7.80,2.05
32,1000,7.80,4.10
64,1000,8.07,7.94
128,1000,8.05,15.90
256,1000,8.08,31.68
512,1000,9.92,51.63
1024,1000,10.10,101.37
2048,1000,10.49,195.25
4096,1000,11.74,348.84
8192,1000,12.85,637.58
16384,1000,22.41,731.02
32768,1000,32.79,999.29
65536,640,54.73,1197.54
131072,320,101.54,1290.79
262144,160,113.81,2303.36
524288,80,172.81,3033.98
1048576,40,307.33,3411.86
2097152,20,623.22,3365.03
4194304,10,1230.94,3407.41
8388608,5,2455.57,3416.16
16777216,2,5046.74,3324.37
33554432,1,10440.96,3213.73
67108864,1,20529.04,3268.97
134217728,1,41000.04,3273.60
268435456,1,82263.62,3263.11
