# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.30,3.38
2,1000,0.29,6.84
4,1000,0.30,13.49
8,1000,0.29,27.36
16,1000,0.30,54.20
32,1000,0.36,88.80
64,1000,0.36,178.60
128,1000,0.48,267.81
256,1000,0.48,531.19
512,1000,0.56,919.04
1024,1000,0.64,1589.56
2048,1000,0.88,2325.82
4096,1000,1.26,3257.79
8192,1000,2.00,4091.11
16384,1000,4.04,4056.73
32768,1000,4.88,6708.60
65536,640,6.55,10008.27
131072,320,8.92,14694.96
262144,160,13.74,19082.73
524288,80,24.44,21448.16
1048576,40,57.86,18121.62
2097152,20,151.32,13859.24
4194304,10,330.70,12683.02
