# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47}
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47}
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,10.57,0.00
1,1000,10.55,0.09
2,1000,10.56,0.19
4,1000,10.50,0.38
8,1000,10.60,0.75
16,1000,10.50,1.52
32,1000,10.53,3.04
64,1000,10.10,6.33
128,1000,10.13,12.64
256,1000,10.17,25.18
512,1000,13.19,38.82
1024,1000,13.71,74.72
2048,1000,14.47,141.49
4096,1000,15.33,267.14
8192,1000,17.60,465.48
16384,1000,29.25,560.12
32768,1000,41.23,794.76
65536,640,68.69,954.02
131072,320,125.89,1041.18
262144,160,176.66,1483.91
524288,80,273.29,1918.42
1048576,40,484.20,2165.57
2097152,20,880.38,2382.11
4194304,10,1587.06,2642.82
