# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.32,0.00
1,1000,0.32,3.13
2,1000,0.33,6.14
4,1000,0.32,12.43
8,1000,0.32,24.98
16,1000,0.32,49.55
32,1000,0.33,96.19
64,1000,0.33,194.52
128,1000,0.34,376.89
256,1000,0.35,724.68
512,1000,0.57,896.98
1024,1000,0.65,1570.13
2048,1000,0.77,2645.64
4096,1000,0.98,4168.84
8192,1000,1.50,5475.29
16384,1000,2.38,6871.78
32768,1000,3.57,9167.33
65536,640,5.94,11034.77
131072,320,8.78,14921.61
262144,160,15.60,16802.14
524288,80,41.83,12533.45
1048576,40,84.25,12445.94
2097152,20,163.93,12792.98
4194304,10,412.06,10178.75
