# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.67,0.00
1,1000,0.67,1.49
2,1000,0.66,3.03
4,1000,0.67,5.94
8,1000,0.68,11.73
16,1000,0.67,24.01
32,1000,0.70,45.82
64,1000,0.69,92.94
128,1000,0.72,177.77
256,1000,0.73,350.28
512,1000,1.16,441.67
1024,1000,1.26,815.01
2048,1000,1.39,1476.86
4096,1000,1.78,2305.01
8192,1000,2.31,3548.72
16384,1000,3.37,4863.01
32768,1000,5.45,6012.05
65536,640,9.29,7056.28
131072,320,15.34,8546.85
262144,160,28.37,9241.07
524288,80,68.27,7679.36
1048576,40,132.53,7912.23
2097152,20,256.50,8176.09
4194304,10,509.89,8225.85
