# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.47
2,1000,0.22,8.98
4,1000,0.22,17.86
8,1000,0.22,35.70
16,1000,0.22,71.24
32,1000,0.24,133.73
64,1000,0.24,266.40
128,1000,0.25,502.57
256,1000,0.28,912.34
512,1000,0.43,1191.20
1024,1000,0.44,2308.80
2048,1000,0.60,3387.46
4096,1000,0.86,4762.84
8192,1000,1.48,5526.73
16384,1000,2.40,6826.39
32768,1000,3.59,9124.84
65536,640,5.88,11145.59
131072,320,9.01,14553.57
262144,160,15.66,16735.36
524288,80,41.98,12489.60
1048576,40,85.07,12326.71
2097152,20,165.25,12691.02
4194304,10,430.45,9743.97
8388608,5,1156.01,7256.52
16777216,2,2617.42,6409.83
33554432,1,6054.50,5542.06
67108864,1,12121.77,5536.23
134217728,1,24486.44,5481.31
268435456,1,50510.26,5314.47
