# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.00
1,1000,0.28,3.57
2,1000,0.29,7.00
4,1000,0.29,13.93
8,1000,0.28,28.23
16,1000,0.29,54.65
32,1000,0.29,109.78
64,1000,0.30,214.77
128,1000,0.30,426.17
256,1000,0.32,798.70
512,1000,0.54,939.81
1024,1000,0.62,1658.27
2048,1000,0.78,2635.00
4096,1000,0.96,4281.34
8192,1000,1.49,5506.45
16384,1000,2.39,6855.94
32768,1000,3.65,8978.26
65536,640,5.83,11245.19
131072,320,8.82,14861.66
262144,160,16.20,16180.33
524288,80,41.49,12635.61
1048576,40,83.92,12494.89
2097152,20,164.06,12782.70
4194304,10,406.91,10307.74
8388608,5,1030.47,8140.54
16777216,2,2170.97,7727.97
33554432,1,6061.87,5535.33
67108864,1,12471.50,5380.98
134217728,1,25878.35,5186.49
268435456,1,52828.67,5081.25
