# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,14.42,0.00
1,1000,14.36,0.07
2,1000,14.49,0.14
4,1000,14.38,0.28
8,1000,14.37,0.56
16,1000,14.52,1.10
32,1000,14.05,2.28
64,1000,12.75,5.02
128,1000,12.64,10.13
256,1000,12.76,20.06
512,1000,11.53,44.41
1024,1000,11.57,88.48
2048,1000,14.26,143.64
4096,1000,15.54,263.63
8192,1000,17.80,460.11
16384,1000,23.41,699.74
32768,1000,37.44,875.25
65536,640,80.27,816.46
131072,320,117.34,1117.01
262144,160,208.02,1260.16
524288,80,310.73,1687.29
1048576,40,507.63,2065.63
2097152,20,909.05,2306.98
4194304,10,1811.81,2314.97
