# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.39
2,1000,0.23,8.84
4,1000,0.23,17.56
8,1000,0.23,35.08
16,1000,0.23,69.98
32,1000,0.24,132.06
64,1000,0.24,262.97
128,1000,0.26,488.77
256,1000,0.28,909.14
512,1000,0.45,1143.35
1024,1000,0.45,2266.88
2048,1000,0.59,3491.63
4096,1000,0.84,4899.48
8192,1000,1.46,5614.27
16384,1000,2.39,6859.64
32768,1000,3.61,9078.99
65536,640,5.78,11329.69
131072,320,8.95,14639.23
262144,160,15.67,16729.89
524288,80,41.58,12608.39
1048576,40,84.80,12366.01
2097152,20,165.89,12641.65
4194304,10,426.50,9834.24
8388608,5,1196.48,7011.05
16777216,2,2580.09,6502.57
33554432,1,6065.87,5531.68
67108864,1,12178.79,5510.31
134217728,1,24366.58,5508.27
268435456,1,50183.39,5349.09
