# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.21,4.77
2,1000,0.21,9.51
4,1000,0.21,19.01
8,1000,0.21,38.17
16,1000,0.21,75.42
32,1000,0.25,129.34
64,1000,0.24,263.17
128,1000,0.34,371.88
256,1000,0.37,689.06
512,1000,0.46,1115.02
1024,1000,0.56,1829.89
2048,1000,0.77,2650.23
4096,1000,1.15,3572.58
8192,1000,1.90,4320.11
16384,1000,2.96,5534.94
32768,1000,4.75,6894.83
65536,640,8.11,8079.18
131072,320,14.68,8928.43
262144,160,14.08,18618.97
524288,80,25.06,20925.46
1048576,40,59.20,17713.85
2097152,20,155.41,13493.92
4194304,10,329.91,12713.49
