# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.36,0.74
2,1000,1.36,1.48
4,1000,1.36,2.94
8,1000,1.36,5.88
16,1000,1.36,11.77
32,1000,1.39,22.97
64,1000,1.69,37.77
128,1000,1.73,73.87
256,1000,1.99,128.36
512,1000,2.08,246.72
1024,1000,2.32,440.74
2048,1000,3.00,683.02
4096,1000,3.92,1046.03
8192,1000,5.50,1490.41
16384,1000,7.25,2259.26
32768,1000,10.09,3248.95
65536,640,14.46,4533.73
131072,320,23.58,5557.69
262144,160,33.15,7907.38
524288,80,56.39,9298.17
1048576,40,98.84,10608.34
2097152,20,184.27,11380.63
4194304,10,354.97,11816.05
8388608,5,698.31,12012.67
16777216,2,1383.29,12128.48
33554432,1,2754.43,12181.97
67108864,1,5511.45,12176.27
134217728,1,11027.82,12170.83
268435456,1,22073.23,12161.13
