# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.31,0.00
1,1000,9.30,0.11
2,1000,9.23,0.22
4,1000,9.29,0.43
8,1000,9.31,0.86
16,1000,9.27,1.73
32,1000,9.25,3.46
64,1000,9.33,6.86
128,1000,9.34,13.70
256,1000,15.31,16.72
512,1000,17.81,28.75
1024,1000,23.81,43.01
2048,1000,20.86,98.17
4096,1000,21.01,194.95
8192,1000,21.30,384.61
16384,1000,21.91,747.88
32768,1000,28.04,1168.45
65536,640,45.42,1442.86
131072,320,63.28,2071.39
262144,160,96.89,2705.56
524288,80,175.05,2995.12
1048576,40,358.25,2926.96
2097152,20,690.04,3039.18
4194304,10,1481.15,2831.79
