# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.38
2,1000,0.23,8.78
4,1000,0.23,17.52
8,1000,0.23,34.90
16,1000,0.23,69.73
32,1000,0.25,128.40
64,1000,0.25,254.18
128,1000,0.27,481.91
256,1000,0.29,880.75
512,1000,0.42,1219.00
1024,1000,0.46,2237.88
2048,1000,0.60,3412.41
4096,1000,0.86,4749.59
8192,1000,1.45,5638.23
16384,1000,2.37,6918.83
32768,1000,3.56,9213.35
65536,640,5.80,11305.45
131072,320,8.88,14762.35
262144,160,15.48,16939.23
524288,80,41.50,12633.82
1048576,40,85.08,12324.80
2097152,20,166.69,12580.95
4194304,10,424.87,9872.00
8388608,5,1145.92,7320.42
16777216,2,2605.51,6439.12
33554432,1,6095.28,5504.98
67108864,1,12127.85,5533.45
134217728,1,24366.32,5508.33
268435456,1,50411.14,5324.92
