# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.40
2,1000,0.23,8.88
4,1000,0.23,17.63
8,1000,0.23,35.27
16,1000,0.23,70.42
32,1000,0.24,132.77
64,1000,0.24,264.24
128,1000,0.26,496.99
256,1000,0.28,909.78
512,1000,0.44,1176.57
1024,1000,0.45,2289.71
2048,1000,0.59,3470.35
4096,1000,0.85,4790.97
8192,1000,1.48,5551.00
16384,1000,2.42,6767.02
32768,1000,3.59,9130.42
65536,640,5.86,11181.66
131072,320,9.02,14528.99
262144,160,16.43,15955.56
524288,80,41.63,12594.12
1048576,40,84.82,12361.79
2097152,20,164.16,12774.89
4194304,10,423.15,9911.99
8388608,5,1149.09,7300.22
16777216,2,2628.81,6382.06
33554432,1,6059.16,5537.80
67108864,1,12094.52,5548.70
134217728,1,24418.25,5496.62
268435456,1,50650.08,5299.80
