# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.29,3.45
2,1000,0.29,6.85
4,1000,0.29,13.66
8,1000,0.29,27.36
16,1000,0.29,55.34
32,1000,0.30,106.55
64,1000,0.30,212.99
128,1000,0.30,424.78
256,1000,0.32,807.44
512,1000,0.57,895.19
1024,1000,0.62,1647.24
2048,1000,0.75,2734.99
4096,1000,0.98,4180.59
8192,1000,1.51,5435.01
16384,1000,2.40,6821.19
32768,1000,3.61,9077.50
65536,640,5.80,11303.73
131072,320,8.82,14856.76
262144,160,15.42,16999.85
524288,80,42.07,12463.68
1048576,40,84.39,12424.96
2097152,20,160.24,13087.60
4194304,10,397.77,10544.41
