# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.68,0.00
1,1000,0.66,1.51
2,1000,0.65,3.08
4,1000,0.65,6.16
8,1000,0.68,11.78
16,1000,0.66,24.14
32,1000,0.70,45.56
64,1000,0.70,90.99
128,1000,0.72,176.60
256,1000,0.72,357.68
512,1000,1.14,450.69
1024,1000,1.20,850.12
2048,1000,1.34,1534.01
4096,1000,1.80,2274.09
8192,1000,2.31,3543.43
16384,1000,3.26,5025.69
32768,1000,5.44,6018.97
65536,640,9.31,7037.73
131072,320,15.39,8516.61
262144,160,28.08,9335.30
524288,80,69.14,7582.46
1048576,40,133.33,7864.55
2097152,20,257.21,8153.54
4194304,10,511.90,8193.55
