# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.25,3.96
2,1000,0.25,7.93
4,1000,0.25,15.86
8,1000,0.25,31.73
16,1000,0.25,63.37
32,1000,0.27,120.65
64,1000,0.27,241.02
128,1000,0.27,465.75
256,1000,0.29,870.26
512,1000,0.53,965.18
1024,1000,0.60,1714.32
2048,1000,0.71,2870.01
4096,1000,0.96,4270.28
8192,1000,1.53,5368.89
16384,1000,2.43,6728.72
32768,1000,3.67,8931.80
65536,640,5.94,11034.39
131072,320,8.86,14789.14
262144,160,15.91,16472.78
524288,80,41.07,12766.14
1048576,40,84.20,12453.85
2097152,20,162.81,12880.96
4194304,10,403.34,10398.92
