# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=sockets ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47}
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47}
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,19.64,0.00
1,1000,19.64,0.05
2,1000,19.64,0.10
4,1000,19.66,0.20
8,1000,12.16,0.66
16,1000,9.96,1.61
32,1000,10.00,3.20
64,1000,10.01,6.39
128,1000,10.05,12.74
256,1000,36.70,6.97
512,1000,32.05,15.98
1024,1000,46.58,21.98
2048,1000,67.04,30.55
4096,1000,67.29,60.87
8192,1000,51.03,160.52
16384,1000,68.05,240.78
32768,1000,71.05,461.18
65536,640,78.38,836.10
131072,320,95.21,1376.65
262144,160,124.12,2111.99
524288,80,226.13,2318.48
1048576,40,429.99,2438.62
2097152,20,784.79,2672.24
4194304,10,1868.29,2245.00
