# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.46,0.00
1,1000,0.47,2.14
2,1000,0.47,4.27
4,1000,0.47,8.56
8,1000,0.47,17.16
16,1000,0.46,34.54
32,1000,0.49,64.73
64,1000,0.49,130.22
128,1000,0.58,220.75
256,1000,0.62,409.93
512,1000,0.97,530.15
1024,1000,0.99,1034.18
2048,1000,1.15,1774.14
4096,1000,1.59,2574.18
8192,1000,2.18,3763.00
16384,1000,3.64,4504.62
32768,1000,5.44,6021.70
65536,640,9.19,7128.11
131072,320,15.20,8625.48
262144,160,27.69,9466.17
524288,80,68.55,7648.31
1048576,40,132.51,7913.07
2097152,20,257.95,8130.22
4194304,10,510.36,8218.35
