# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,6.50,0.00
1,1000,6.47,0.15
2,1000,6.49,0.31
4,1000,6.50,0.62
8,1000,6.48,1.23
16,1000,6.48,2.47
32,1000,6.46,4.95
64,1000,6.49,9.87
128,1000,6.49,19.72
256,1000,11.55,22.16
512,1000,13.15,38.92
1024,1000,16.58,61.75
2048,1000,13.82,148.20
4096,1000,13.67,299.55
8192,1000,13.94,587.62
16384,1000,14.11,1160.88
32768,1000,16.25,2016.79
65536,640,24.13,2716.28
131072,320,30.86,4247.51
262144,160,45.05,5818.45
524288,80,81.44,6437.65
1048576,40,146.83,7141.34
2097152,20,356.29,5886.13
4194304,10,642.36,6529.55
