# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.13,0.00
1,1000,1.13,0.88
2,1000,1.13,1.77
4,1000,1.14,3.51
8,1000,1.13,7.10
16,1000,1.13,14.14
32,1000,1.15,27.89
64,1000,1.33,48.05
128,1000,1.40,91.64
256,1000,1.65,155.59
512,1000,1.72,298.27
1024,1000,1.89,541.01
2048,1000,2.58,792.94
4096,1000,3.35,1223.44
8192,1000,4.37,1875.95
16384,1000,6.10,2686.17
32768,1000,9.52,3441.50
65536,640,12.80,5120.19
131072,320,21.78,6019.25
262144,160,32.71,8013.45
524288,80,54.77,9573.05
1048576,40,96.75,10837.70
2097152,20,182.65,11481.74
4194304,10,354.02,11847.80
8388608,5,695.22,12066.08
16777216,2,1380.38,12154.04
33554432,1,2758.90,12162.23
67108864,1,5516.37,12165.40
134217728,1,11023.73,12175.34
268435456,1,21928.44,12241.43
