# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.52,0.00
1,1000,0.52,1.91
2,1000,0.52,3.86
4,1000,0.53,7.61
8,1000,0.53,15.17
16,1000,0.53,30.38
32,1000,0.54,59.07
64,1000,0.54,119.45
128,1000,0.55,234.83
256,1000,0.55,469.15
512,1000,0.71,718.83
1024,1000,0.78,1312.75
2048,1000,0.91,2240.87
4096,1000,1.16,3538.31
8192,1000,1.49,5482.02
16384,1000,2.35,6977.47
32768,1000,3.50,9349.79
65536,640,5.74,11414.37
131072,320,8.83,14849.37
262144,160,15.70,16691.94
524288,80,41.90,12513.53
1048576,40,84.76,12370.96
2097152,20,165.21,12693.98
4194304,10,423.90,9894.50
8388608,5,1189.26,7053.65
16777216,2,2583.17,6494.80
33554432,1,6066.42,5531.17
67108864,1,12166.30,5515.96
134217728,1,24348.82,5512.29
268435456,1,50546.32,5310.68
