# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.45,2.25
2,1000,0.44,4.51
4,1000,0.44,9.01
8,1000,0.44,17.98
16,1000,0.44,35.99
32,1000,0.49,65.04
64,1000,0.48,131.96
128,1000,0.59,216.55
256,1000,0.63,405.77
512,1000,0.98,524.33
1024,1000,1.00,1019.38
2048,1000,1.17,1756.28
4096,1000,1.56,2617.38
8192,1000,2.13,3842.52
16384,1000,3.72,4406.12
32768,1000,5.41,6061.77
65536,640,9.28,7059.35
131072,320,15.21,8619.15
262144,160,28.22,9288.78
524288,80,67.19,7802.71
1048576,40,132.50,7914.01
2097152,20,258.72,8105.85
4194304,10,509.79,8227.54
