# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.84
2,1000,0.20,9.79
4,1000,0.21,19.51
8,1000,0.20,39.03
16,1000,0.21,77.75
32,1000,0.25,128.02
64,1000,0.24,262.50
128,1000,0.35,369.91
256,1000,0.37,698.54
512,1000,0.45,1133.68
1024,1000,0.56,1842.11
2048,1000,0.77,2656.27
4096,1000,1.14,3588.93
8192,1000,1.89,4339.64
16384,1000,2.96,5533.16
32768,1000,4.74,6910.23
65536,640,8.12,8071.41
131072,320,14.66,8940.35
262144,160,14.01,18714.60
524288,80,24.93,21031.31
1048576,40,60.58,17308.53
2097152,20,154.70,13556.16
4194304,10,323.84,12951.60
