# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.43,2.30
2,1000,0.43,4.68
4,1000,0.43,9.34
8,1000,0.43,18.64
16,1000,0.43,37.24
32,1000,0.46,70.14
64,1000,0.46,139.22
128,1000,0.58,222.29
256,1000,0.61,422.74
512,1000,0.80,636.65
1024,1000,0.89,1144.97
2048,1000,1.05,1954.49
4096,1000,1.48,2763.65
8192,1000,1.97,4156.10
16384,1000,3.11,5272.28
32768,1000,5.09,6441.35
65536,640,9.02,7269.00
131072,320,17.78,7370.32
262144,160,34.21,7662.07
524288,80,81.91,6400.45
1048576,40,166.62,6293.10
2097152,20,331.49,6326.40
4194304,10,656.76,6386.39
