# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.58
2,1000,0.28,7.13
4,1000,0.28,14.31
8,1000,0.28,28.81
16,1000,0.30,52.78
32,1000,0.29,109.58
64,1000,0.32,198.83
128,1000,0.37,344.56
256,1000,0.43,598.94
512,1000,0.61,844.61
1024,1000,0.69,1483.69
2048,1000,0.82,2500.10
4096,1000,1.69,2428.43
8192,1000,1.97,4163.50
16384,1000,2.55,6437.11
32768,1000,3.50,9355.67
65536,640,5.63,11650.45
131072,320,9.41,13925.21
262144,160,16.89,15521.12
524288,80,37.46,13995.54
1048576,40,99.59,10528.62
2097152,20,238.60,8789.33
4194304,10,567.57,7389.96
