# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.26
2,1000,0.44,4.52
4,1000,0.44,9.03
8,1000,0.44,18.16
16,1000,0.44,36.23
32,1000,0.49,64.93
64,1000,0.49,131.63
128,1000,0.60,214.72
256,1000,0.63,406.87
512,1000,0.98,524.94
1024,1000,1.00,1023.19
2048,1000,1.16,1769.85
4096,1000,1.61,2550.78
8192,1000,2.11,3886.04
16384,1000,3.65,4489.55
32768,1000,5.30,6181.27
65536,640,9.06,7234.67
131072,320,15.10,8679.88
262144,160,27.71,9460.43
524288,80,67.51,7765.68
1048576,40,133.10,7878.09
2097152,20,256.82,8165.77
4194304,10,508.54,8247.73
