# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.45,2.24
2,1000,0.42,4.77
4,1000,0.42,9.56
8,1000,0.42,19.12
16,1000,0.42,38.13
32,1000,0.56,56.96
64,1000,0.56,113.54
128,1000,1.05,122.17
256,1000,1.09,235.83
512,1000,1.19,429.89
1024,1000,1.45,705.55
2048,1000,2.08,985.38
4096,1000,2.95,1388.76
8192,1000,4.67,1753.40
16384,1000,7.25,2260.05
32768,1000,12.91,2538.93
65536,640,23.63,2773.92
131072,320,44.52,2944.44
262144,160,14.71,17822.07
524288,80,26.21,20002.69
1048576,40,59.26,17694.96
2097152,20,154.63,13562.09
4194304,10,326.80,12834.51
