# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.48
2,1000,0.21,9.48
4,1000,0.21,18.95
8,1000,0.21,37.23
16,1000,0.21,74.43
32,1000,0.25,128.12
64,1000,0.25,259.45
128,1000,0.34,371.41
256,1000,0.37,687.62
512,1000,0.46,1122.16
1024,1000,0.56,1836.88
2048,1000,0.77,2645.92
4096,1000,1.14,3577.87
8192,1000,1.89,4337.25
16384,1000,2.95,5544.75
32768,1000,4.75,6901.07
65536,640,8.08,8108.09
131072,320,14.62,8966.22
262144,160,14.02,18696.40
524288,80,24.76,21173.33
1048576,40,58.57,17903.86
2097152,20,158.64,13219.21
4194304,10,330.26,12700.08
