# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.36,0.00
1,1000,1.36,0.74
2,1000,1.36,1.47
4,1000,1.36,2.94
8,1000,1.36,5.89
16,1000,1.37,11.70
32,1000,1.39,23.07
64,1000,1.67,38.23
128,1000,1.73,74.01
256,1000,1.98,128.97
512,1000,2.06,247.97
1024,1000,2.33,438.72
2048,1000,2.97,688.68
4096,1000,3.95,1037.96
8192,1000,5.50,1488.72
16384,1000,7.34,2231.97
32768,1000,10.03,3265.81
65536,640,14.51,4516.50
131072,320,23.49,5580.66
262144,160,33.23,7889.21
524288,80,58.13,9019.62
1048576,40,98.81,10611.91
2097152,20,184.65,11357.60
4194304,10,355.35,11803.17
