# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.42,2.39
2,1000,0.42,4.78
4,1000,0.42,9.64
8,1000,0.42,19.20
16,1000,0.42,38.12
32,1000,0.57,56.17
64,1000,0.57,113.25
128,1000,1.05,121.62
256,1000,1.04,244.98
512,1000,1.18,434.45
1024,1000,1.45,706.23
2048,1000,2.09,977.77
4096,1000,2.97,1381.30
8192,1000,4.67,1754.31
16384,1000,7.11,2303.38
32768,1000,12.75,2569.65
65536,640,23.89,2742.84
131072,320,44.12,2970.82
262144,160,14.49,18090.00
524288,80,25.85,20285.03
1048576,40,59.95,17490.55
2097152,20,156.01,13442.84
4194304,10,335.82,12489.86
