# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.25
2,1000,0.45,4.45
4,1000,0.44,9.01
8,1000,0.45,17.68
16,1000,0.45,35.60
32,1000,0.49,65.18
64,1000,0.48,133.00
128,1000,0.59,217.24
256,1000,0.64,401.10
512,1000,0.95,538.63
1024,1000,1.01,1018.18
2048,1000,1.16,1769.83
4096,1000,1.59,2573.90
8192,1000,2.08,3945.25
16384,1000,3.53,4635.45
32768,1000,5.34,6140.28
65536,640,9.02,7263.28
131072,320,15.13,8662.13
262144,160,27.77,9439.44
524288,80,67.53,7763.47
1048576,40,131.89,7950.52
2097152,20,258.16,8123.53
4194304,10,509.57,8231.00
8388608,5,1067.30,7859.66
16777216,2,2412.08,6955.50
33554432,1,7879.80,4258.28
67108864,1,15844.44,4235.48
134217728,1,31567.95,4251.71
268435456,1,62349.36,4305.34
