# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.27,0.00
1,1000,1.27,0.79
2,1000,1.28,1.56
4,1000,1.29,3.10
8,1000,1.27,6.29
16,1000,1.27,12.59
32,1000,1.29,24.73
64,1000,1.42,45.05
128,1000,1.46,87.49
256,1000,1.70,150.69
512,1000,3.40,150.47
1024,1000,1.93,529.71
2048,1000,2.59,791.46
4096,1000,3.25,1258.41
8192,1000,4.12,1988.05
16384,1000,5.79,2830.67
32768,1000,9.86,3324.22
65536,640,13.24,4948.24
131072,320,22.57,5807.63
262144,160,33.52,7820.22
524288,80,57.99,9041.27
1048576,40,98.58,10637.19
2097152,20,183.61,11421.50
4194304,10,353.69,11858.66
8388608,5,695.58,12059.96
16777216,2,1384.25,12120.07
33554432,1,2766.85,12127.30
67108864,1,5503.19,12194.54
134217728,1,11030.09,12168.33
268435456,1,22024.17,12188.22
